Video Title: NEMS Buckling Snap Through x2.0.mp4
Unit for displacement: Unit
Note: The coordinate system is anchored at NW 
           Frame        Time (s)              Δx      Confidence           Model      Resolution             FPS          Filter    Center (X,Y)       Top (X,Y)    Bottom (X,Y)
               1           0.034         -10.606               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (217, 336)
               2           0.069         -10.606               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (217, 336)
               3           0.103         -10.606               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (217, 336)
               4           0.138         -10.606               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (217, 336)
               5           0.172         -10.606               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (217, 336)
               6           0.207         -10.606               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (217, 336)
               7           0.241         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
               8           0.276         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
               9           0.310         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              10           0.345         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              11           0.379         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              12           0.414         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              13           0.448         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              14           0.483         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              15           0.517         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              16           0.552         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              17           0.586         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              18           0.621         -10.604               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              19           0.655         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              20           0.690         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              21           0.724         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              22           0.759         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              23           0.793         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              24           0.828         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              25           0.862         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              26           0.897         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              27           0.931         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              28           0.966         -10.590               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              29           1.000         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              30           1.034         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              31           1.069         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              32           1.103         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              33           1.138         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              34           1.172         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              35           1.207         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              36           1.241         -10.779               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              37           1.276         -10.565               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              38           1.310         -10.565               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              39           1.345         -10.565               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              40           1.379         -10.565               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (217, 336)
              41           1.414         -10.786               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              42           1.448         -10.786               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              43           1.483         -10.773               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              44           1.517         -10.763               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              45           1.552         -10.763               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              46           1.586         -10.751               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              47           1.621         -10.751               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              48           1.655         -10.751               -Continuity + Regression         418x360              29       Greyscale      (204, 171)       (215, 21)      (216, 336)
              49           1.690         -10.721               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              50           1.724         -10.721               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              51           1.759         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              52           1.793         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              53           1.828         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              54           1.862         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              55           1.897         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              56           1.931         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              57           1.966         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              58           2.000         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              59           2.034         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              60           2.069         -10.679               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              61           2.103         -10.668               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              62           2.138         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              63           2.172         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              64           2.207         -10.692               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              65           2.241         -10.696               -Continuity + Regression         418x360              29       Greyscale      (204, 169)       (215, 21)      (216, 336)
              66           2.276         -10.687               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              67           2.310         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              68           2.345         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              69           2.379         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
              70           2.414         -10.645               -Continuity + Regression         418x360              29       Greyscale      (204, 170)       (215, 21)      (216, 336)
